Character_Name, Character_Type, Population,Aspect_Ratio,Japanese_Character
ko,Hiragana,33.714285714285715;30.952380952380953;28.57142857142857;31.318681318681318;33.14285714285714;0;0;0;0;33.714285714285715;0;0;0;0;5.636363636363637;22.095238095238095;0;0;0;0;13.523809523809524;34.43223443223443;32;28.57142857142857;5.714285714285714,1.198113203048706,‚±
ko,Hiragana,11.25;34.285714285714285;32.241379310344826;32.32142857142858;26.071428571428573;0;0;0;0;20.48872180451128;0;0;0;0;0;4.511278195488721;0;0;0;7.518796992481203;29.642857142857142;33.75;33.275862068965516;32.67857142857143;31.607142857142854,1.4387755393981934,‚±
ko,Hiragana,13.501144164759726;32.45614035087719;31.57894736842105;48.24561403508772;5.263157894736842;0;0;0;18.859649122807017;0;6.763285024154589;0;0;0;0;37.986270022883296;0;0;0;0;10.755148741418765;39.25438596491228;32.951945080091534;33.771929824561404;35.6979405034325,1.2446808815002441,‚±
ko,Hiragana,13.015873015873018;40;40;43.492063492063494;42.857142857142854;0;0;0;0;1.7006802721088436;10.476190476190476;0;0;0;0;44.21768707482993;13.60544217687075;0;0;0;0.6349206349206349;35.55555555555556;44.333333333333336;40.95238095238095;47.3015873015873,1.4246575832366943,‚±
sa,Hiragana,0;45.3968253968254;4.166666666666666;3.492063492063492;25.595238095238095;11.931818181818182;37.57575757575757;61.36363636363637;30;8.238636363636363;4.166666666666666;0.31746031746031744;26.190476190476193;0;0;27.556818181818183;2.727272727272727;0;0;0;5.059523809523809;34.92063492063492;36.607142857142854;31.428571428571427;5.654761904761905,0.7289719581604004,‚³
sa,Hiragana,0;34.24242424242424;15.757575757575756;3.6363636363636362;26.666666666666668;30.606060606060602;31.212121212121215;66.36363636363637;28.484848484848484;5.757575757575758;1.1594202898550725;0;21.15942028985507;16.52173913043478;0;17.272727272727273;4.848484848484849;0;0;0;3.939393939393939;30;34.24242424242424;32.72727272727273;14.242424242424242,0.6756756901741028,‚³
sa,Hiragana,0;35.02673796791444;10.227272727272728;0;2.272727272727273;20.454545454545457;34.49197860962567;59.94318181818182;33.42245989304813;27.556818181818183;9.523809523809524;0.5602240896358543;31.845238095238095;13.725490196078432;0;0;0;0.5681818181818182;11.229946524064172;0;5.3977272727272725;33.42245989304813;32.10227272727273;17.379679144385026;0,0.752293586730957,‚³
sa,Hiragana,0;23.097826086956523;20.716112531969312;0;0;0;8.967391304347826;56.77749360613811;31.793478260869566;27.98913043478261;29.261363636363637;21.306818181818183;20.32085561497326;28.40909090909091;0;0;0;0;1.358695652173913;0;14.130434782608695;31.793478260869566;30.434782608695656;28.26086956521739;26.6304347826087,0.7105262875556946,‚³
sa,Hiragana,0;31.196581196581196;8.502024291497975;1.9230769230769231;19.63562753036437;18.10526315789474;27.77777777777778;55.1578947368421;28.000000000000004;8.421052631578947;8.906882591093117;0;34.41295546558704;0;0;18.947368421052634;9.11111111111111;0;0;0;0.20242914979757085;21.153846153846153;28.74493927125506;26.282051282051285;18.016194331983808,0.7265625,‚³
shi,Hiragana,38.19444444444444;0;0;0;0;38.88888888888889;0;0;0;0;38.88888888888889;0;0;0;0;41.39784946236559;0.17921146953405018;0;0;25.806451612903224;6.944444444444445;27.77777777777778;23.34558823529412;27.77777777777778;19.791666666666664,0.5632911324501038,‚µ
shi,Hiragana,29.166666666666668;0;0;0;0;23.809523809523807;0;0;0;0;25.960061443932414;0;0;0;0;33.482142857142854;0;0;0;10.863095238095239;15.922619047619047;25;20.089285714285715;22.65625;28.869047619047617,0.6477987170219421,‚µ
shi,Hiragana,41.12903225806452;0;0;0;0;43.75;0;0;0;0;43.75;0;0;0;0;42.083333333333336;0;0;0;0;29.03225806451613;26.209677419354836;22.960151802656547;27.016129032258064;23.588709677419356,0.529411792755127,‚µ
shi,Hiragana,40.714285714285715;0;0;0;0;39.82142857142857;0;0;0;0;33.214285714285715;0;0;0;0;43.92857142857143;1.8487394957983194;0;0;0;2.5;28.907563025210088;22.678571428571427;20.504201680672267;28.92857142857143,0.46857142448425293,‚µ
shi,Hiragana,37.5;0;0;0;0;37.5;0;0;0;0;38.70192307692308;0;0;0;0;44.44444444444444;0;0;0;12.268518518518519;8.796296296296296;33.58024691358025;28.240740740740737;33.58024691358025;25.462962962962965,0.5820895433425903,‚µ
su,Hiragana,0;0;19.537037037037035;0;0;18.952380952380953;19.113300492610836;37.238095238095234;20;19.428571428571427;3.2407407407407405;27.77777777777778;28.703703703703702;0;0;6.761904761904762;30.147783251231523;20.761904761904763;0;0;0;0;19.444444444444446;0;0,0.8314606547355652,‚·
su,Hiragana,0;0;26.62857142857143;0;0;20.22222222222222;17.939814814814813;39.55555555555556;16.666666666666664;16.555555555555557;8.571428571428571;19.523809523809526;42.05714285714286;0;0;16.444444444444446;17.939814814814813;36.77777777777778;0;0;0;0;27.314285714285713;0;0,0.694915235042572,‚·
su,Hiragana,0;0;20.87114337568058;0;0;15.601503759398497;15.789473684210526;33.756805807622506;15.789473684210526;18.796992481203006;18.33976833976834;21.332046332046332;34.57595526561044;0;0;4.511278195488721;18.60902255639098;24.41016333938294;0;0;0;0;21.234119782214155;0;0,0.7460317611694336,‚·
su,Hiragana,0;7.142857142857142;17.94238683127572;0;0;13.497942386831276;13.333333333333334;35.88477366255144;13.333333333333334;13.662551440329217;12.263374485596708;25.07936507936508;31.193415637860085;0;0;9.7119341563786;15.634920634920634;24.362139917695476;0;0;0;0;22.22222222222222;0;0,0.6088888645172119,‚·
su,Hiragana,0;7.754010695187167;24.789915966386555;0;0;19.183673469387756;18.961038961038962;43.945578231292515;17.142857142857142;16.462585034013603;1.8207282913165268;20.72192513368984;46.07843137254902;0;0;27.48299319727891;25.844155844155843;37.27891156462585;1.0389610389610389;0;0;0;19.327731092436977;4.545454545454546;0,0.6220930218696594,‚·
se,Hiragana,0;20.562130177514792;0;26.035502958579883;0;16.48;44.92307692307692;24.48;44.30769230769231;24.48;17.23076923076923;23.076923076923077;12.769230769230768;25.295857988165682;0;4;23.076923076923077;0.96;0.7692307692307693;0;1.3846153846153846;36.68639053254438;23.076923076923077;23.5207100591716;0,0.9921875,‚¹
se,Hiragana,0;22.053872053872052;0;21.885521885521886;0;23.863636363636363;45.95959595959596;29.22077922077922;44.107744107744104;26.785714285714285;5.442176870748299;18.51851851851852;0;22.045855379188712;0;0;18.68686868686869;0;0;0;0;22.39057239057239;28.8961038961039;27.27272727272727;26.948051948051948,1.2660549879074097,‚¹
se,Hiragana,2.4475524475524475;27.972027972027973;0;15.734265734265735;0;29.629629629629626;25.420875420875422;18.19645732689211;40.235690235690235;21.71717171717172;35.13986013986014;13.81118881118881;5.68561872909699;23.076923076923077;0;26.262626262626267;5.387205387205387;0;13.804713804713806;0;5.769230769230769;32.16783216783217;26.254180602006688;26.223776223776223;23.6013986013986,0.8409090638160706,‚¹
se,Hiragana,0;27.724358974358974;0;21.794871794871796;0;2.6234567901234565;25.617283950617285;0;29.166666666666668;0;36.69871794871795;30.128205128205128;23.076923076923077;45.67307692307692;22.756410256410255;25;4.166666666666666;0;22.993827160493826;0;13.62179487179487;30.76923076923077;23.076923076923077;23.076923076923077;14.743589743589745,0.9090909361839294,‚¹
se,Hiragana,21.810699588477366;3.5665294924554183;1.4245014245014245;11.248285322359397;0;33.99470899470899;17.59259259259259;28.846153846153843;21.957671957671955;5.82010582010582;26.06310013717421;12.345679012345679;28.774928774928775;7.4074074074074066;2.880658436213992;4.894179894179894;20.238095238095237;4.258241758241758;0;0;0;28.25788751714678;25.356125356125357;23.456790123456788;22.22222222222222,0.9781022071838379,‚¹
so,Hiragana,3.0555555555555554;31.11111111111111;33.611111111111114;63.33333333333333;50.27777777777778;34.39153439153439;37.03703703703704;31.48148148148148;4.497354497354497;0;26.38888888888889;66.11111111111111;60.27777777777777;41.388888888888886;9.166666666666666;16.137566137566136;27.513227513227513;0;0;0;0;18.61111111111111;38.333333333333336;32.77777777777778;2.5,0.8823529481887817,‚»
so,Hiragana,18.333333333333332;25;37.166666666666664;54.807692307692314;5;4.869565217391305;31.270903010033447;34.08695652173913;13.043478260869565;12.869565217391305;43;54.32692307692307;43.166666666666664;42.30769230769231;26;0;24.91638795986622;0;0;0;0;29.647435897435898;27;2.083333333333333;0,1.0762711763381958,‚»
